session_id,total,consent,refresh,instructions,SequencePrediction,Survey
694729a825916566be87b6ff,N/A,,,,,
69472969fb66636c40126893,2:07,0:07,0:02,0:20,1:18,0:17
6947296bcdf74c11aa00ae42,2:31,0:01,0:02,0:35,1:32,0:20
6947299860afaeb2416b2160,2:21,0:10,0:06,0:27,1:19,0:17
694729a4b304aa5079bb22c4,2:29,0:08,0:02,0:34,1:09,0:33
69472a001883b1925b306886,2:51,0:06,0:05,0:33,1:13,0:52
69472a9915976b57ce930dbc,N/A,,,,,
69472a0f74f85f60a2553f6c,2:04,0:21,0:01,0:17,1:06,0:16
69472a582e84856b814dfe51,1:48,0:03,0:01,0:21,1:11,0:10
69472ab491969b55a11bb7c5,2:10,0:16,0:01,0:18,1:22,0:09
69472adbc255010c39688ab6,2:39,0:02,0:04,0:24,1:37,0:29
69472af5f178a7d36d2f56aa,4:03,0:10,0:02,0:33,1:50,1:24
69472adf4e33f4a57f4c2842,4:52,1:22,0:04,0:26,1:15,1:42
69472b627291f249df5d9b2c,2:55,0:07,0:01,0:29,1:17,0:58
69472b8da3a3e37022ee579f,1:40,0:02,0:03,0:18,1:02,0:12
69472b945eb7dbb1be397701,3:18,0:17,0:09,0:33,1:42,0:33
69472bc038a857b56b667057,3:48,0:05,0:02,0:42,1:11,1:47
69472bcdf7551e8d767484ce,2:58,0:15,0:05,0:33,1:21,0:42
69472bd711d827279f17565b,2:35,0:02,0:02,0:43,1:13,0:34
69472bc2934885b70578a445,3:35,0:26,0:10,0:40,1:14,1:02
69472c05791274cf22fee323,3:15,0:03,0:03,0:43,2:03,0:22
69472c30ec024e26437802f1,2:49,0:13,0:04,0:47,1:22,0:19
69472c882a0298e1cb38064c,3:22,0:08,0:03,0:54,1:56,0:18
69472cc3c43cf85800483177,4:17,0:18,0:08,0:52,1:32,1:25
69472cb5349ceac6b2b3db23,2:36,0:03,0:02,0:22,1:25,0:42
69472c34913ff66f08c77d2b,3:04,0:25,0:03,0:33,1:15,0:46
69472d2038e19514650e7029,2:51,0:07,0:05,0:29,1:28,0:39
69472d7a79fd76baa13485f2,2:27,0:01,0:01,0:34,1:25,0:23
69472d7ffea3d7cf9633beb0,2:04,0:03,0:03,0:23,1:10,0:23
69472d832aba6708dbee5cf4,3:28,0:08,0:27,0:49,1:27,0:35
69472d8537efe1de07debbb2,3:14,0:43,0:05,0:29,1:17,0:37
69472d8f91e1f26a4fe6ae03,1:51,0:08,0:01,0:18,1:02,0:20
69472d90b5826d87c08d5771,2:16,0:02,0:03,0:27,1:15,0:26
69472da9867839f36aeecff7,1:53,0:02,0:02,0:24,1:08,0:15
69472dad5a57f3abcf938905,3:56,1:00,0:03,0:36,1:28,0:46
69472dad4f89a1b9a66e9371,4:01,0:46,0:06,0:34,1:17,1:15
69472dba013883bd3bc6ff87,3:14,0:11,0:02,0:34,1:33,0:53
69472d98e0178ec882d3c4d6,3:31,0:49,0:04,0:27,1:12,1:15
69472df77172d9396d93238b,N/A,,,,,
69472df354a8c73c79a25ebe,2:01,0:06,0:03,0:19,1:01,0:30
69472df4d2575bad2b4abc85,1:40,0:01,0:02,0:18,0:58,0:19
69472dc84e18993903e95efa,4:02,0:12,0:03,0:34,1:19,1:51
69472dc8bbbdfcf903d6a114,1:56,0:01,0:02,0:17,1:12,0:22
69472de1b4d08d6a7f30623a,2:41,0:09,0:06,0:27,1:26,0:29
69472df8faf9f9434115f458,1:45,0:01,0:02,0:21,1:01,0:17
69472e05031c7c50eeedb898,2:07,0:10,0:07,0:25,1:10,0:13
69472df9717d950a3237c672,2:25,0:14,0:04,0:25,1:15,0:24
69472dfaff824335c881fdba,2:05,0:07,0:02,0:29,1:10,0:14
69472e0f750bfb5212784b7b,2:07,0:02,0:02,0:18,1:12,0:30
69472e114f89a1b9a66e9378,1:48,0:01,0:01,0:19,1:09,0:16
69472e16b832e9650547ea30,1:47,0:05,0:01,0:20,1:10,0:08
69472e1c1e7510ab1887b77a,N/A,1:03,0:02,,,
69472e18013883bd3bc6ff8e,2:40,0:06,0:05,0:33,1:28,0:25
69472e1e00661394bf397802,2:33,0:21,0:03,0:32,1:20,0:15
69472e1963e8a69d6ec850f0,2:28,0:07,0:02,0:20,1:20,0:37
69472e251e7fac257a58c371,3:21,0:13,0:05,0:40,1:47,0:32
69472e1ea844a1396ae891b4,2:57,0:47,0:03,0:24,1:04,0:36
69472e2d99ebbf11f438567f,2:23,0:15,0:01,0:23,1:15,0:26
69472e32633e484c488d5cee,2:46,0:02,0:02,0:35,1:09,0:55
69472e33e5088e5640f3debd,1:51,0:01,0:02,0:22,1:05,0:17
69472e5cbc7fb7063d3ee56e,5:14,0:36,0:09,1:34,1:30,1:23
69472e3d232a69d7e9cc3bba,4:56,0:21,0:45,0:29,1:29,1:50
69472e59bc55e6667da06cfc,2:13,0:01,0:01,0:18,1:11,0:39
69472e724570b4b1f2758aae,2:57,0:11,0:04,0:30,1:24,0:46
69472e9dc159236320462dfb,N/A,,,,,
69472e82b4d08d6a7f306246,1:32,7:12,0:01,0:16,1:04,0:08
69472e8a70c058c438c1f659,1:58,0:05,0:02,0:23,1:06,0:19
69472e944f89a1b9a66e9384,2:15,0:05,0:03,0:31,1:12,0:22
69472e9eb6c42b1e3a4bf4f0,1:41,0:02,0:01,0:17,1:01,0:18
69472e9f04988aab355549c3,2:03,0:53,0:03,0:20,1:06,0:27
69472f0b5bcfdfbd75dad71a,N/A,,,,,
69472ea569587d1e85333a08,3:55,0:28,0:07,0:51,1:50,0:36
69472edb01372ea979e8c37f,2:57,0:13,0:07,0:36,1:15,0:44
69472ecb06346d0b86b3de00,2:05,0:12,0:03,0:24,1:08,0:14
69472eebbc7fb7063d3ee579,2:20,0:04,0:03,0:24,1:14,0:33
69472f0fded3c47cfe54ed04,2:53,0:05,0:02,0:27,1:50,0:25
69472f1a6e55e36a2a9fd1fe,1:58,0:01,0:01,0:19,1:07,0:27
69472f256e37a8ebea7889e8,2:31,0:01,0:03,0:35,1:20,0:29
69472f26dc5f43f778ba30d1,2:05,0:04,0:03,0:23,1:12,0:21
69472f1cba9ee5d7d650eed0,3:58,0:36,0:06,0:42,1:33,0:58
69472f98c057c74136f1dd91,2:54,0:55,0:02,0:21,1:09,0:25
69472f8295109d56fc33b961,2:06,0:01,0:02,0:19,1:12,0:30
69472f9df665939c2efb692f,N/A,,,,,
69472fb118ed893b59773bf3,N/A,,,,,
69473000597f1594da37f6b0,N/A,,,,,
69472fb93fffc2e705b34919,2:54,0:04,0:01,1:15,1:13,0:19
6947300672d66b08091088b7,1:47,0:01,0:01,0:22,1:03,0:18
69472ff5bdf103eaaf9fc4f2,1:54,0:06,0:04,0:22,1:07,0:14
6947301685bed36ed01fbae6,2:11,0:01,0:03,0:35,1:04,0:26
6947303c96edeebbc2dad230,N/A,,,,,
6947308b7449e12e552b5646,N/A,0:04,0:04,,,
6947301e0a25ccccead07238,2:44,0:09,0:06,0:29,1:05,0:53
6947307983dbd49a303c545b,3:48,0:49,0:03,0:33,1:25,0:55
694730881e7fac257a58c389,5:07,0:29,0:07,1:25,1:55,1:10
6947303568b69bcb0d02d6f6,2:35,0:02,0:03,0:39,1:07,0:40
69473093dfc40630b7cfa4c6,1:39,0:00,0:01,0:18,1:00,0:16
694730efd3863461c0a29269,1:37,0:01,0:02,0:17,1:04,0:11
6947316bbcd84195974f2919,2:30,0:06,0:03,0:25,1:20,0:33
694730f1dadc29cc541037f4,1:36,0:01,0:03,0:18,1:03,0:09
694730f3bff64d1dc8590ff1,2:40,0:07,0:10,0:39,1:26,0:15
6947310abdf103eaaf9fc500,2:34,0:04,0:03,0:30,1:05,0:48
69473176263a911c34987135,3:14,0:02,0:03,0:21,1:04,1:43
694731c9b4d08d6a7f306294,3:56,2:04,0:01,0:26,1:08,0:14
694731e2e81b663bf34bfd8e,2:26,0:02,0:04,0:38,1:05,0:36
69473184bc21f06bb8719861,1:59,0:02,0:01,0:17,1:22,0:15
69473201692f8d5bdf6e1bb4,1:57,0:01,0:02,0:21,1:15,0:15
6947321abc7fb7063d3ee5ac,1:49,0:01,0:03,0:20,1:09,0:14
6947321f3c72dbf7106cf09e,9:59,0:01,0:01,0:18,1:09,8:28
69473277289bc29583938301,1:53,0:01,0:02,0:28,1:02,0:16
6947327f206c566367f5fc29,2:16,0:07,0:02,0:28,1:16,0:20
694732ab9c3b24184f1fb283,2:07,0:01,0:02,0:28,1:15,0:19
694732a6f74b826fc3f4ff1d,1:55,0:02,0:03,0:22,1:08,0:18
694732e4a9e451ad6e0b1e75,3:07,1:01,0:03,0:21,1:13,0:20
694732e4a191d0dff0f5b8c4,2:40,0:01,0:02,0:45,1:25,0:24
69473314ff824335c881fe19,1:42,0:03,0:02,0:19,1:04,0:11
694733567449e12e552b5695,3:25,0:07,0:01,0:30,1:18,1:27
69473330d42727d1c7ad43b3,4:33,1:21,0:04,0:35,2:04,0:26
69473364e9666088fcc86b09,2:07,0:28,0:02,0:17,1:02,0:15
694733688eaa777e50938fd5,3:01,0:15,0:14,0:35,1:23,0:32
69473370d5d377dfc9b6378f,3:01,0:18,0:08,0:37,1:35,0:21
694733926086402f3c123f8c,1:51,0:01,0:02,0:25,1:01,0:20
6947348de5088e5640f3df28,N/A,,,,,
694733d72b787e4aa3c54f5e,2:41,0:14,0:03,0:35,1:23,0:23
694734d2b29c4856719497c7,1:41,0:01,0:01,0:18,1:02,0:16
694735452d0e56d607c8c7cc,3:22,0:12,0:08,0:27,1:51,0:42
69473458bb6c5c703800b3bc,2:18,0:05,0:02,0:22,1:10,0:37
694735a01713b3573be896b9,N/A,0:15,0:02,,,
6947355edaf19a62b1b8048d,2:07,0:05,0:05,0:29,1:06,0:20
694735b299e0eafbc112ea1b,1:42,0:02,0:00,0:16,1:01,0:20
694735c3c3216a6f6d6e1c6b,1:32,0:03,0:00,0:15,1:02,0:09
694736b9df52cad0ed439238,2:19,0:03,0:03,0:28,1:20,0:23
69473638653018b0bf21ed02,1:44,0:01,0:01,0:20,1:05,0:13
694736e34d0c8224b49a314a,2:11,0:02,0:02,0:28,1:22,0:15
694738898dff641e12698360,N/A,0:36,0:02,0:22,,
6947390857c30df6e0c780c2,N/A,,,,,
69473818b67d7b817d8a5749,2:09,0:00,0:01,0:18,1:03,0:45
69473727df52cad0ed439241,3:13,0:01,0:04,0:23,1:27,1:14
694739b18d2aed5bf5840260,2:18,0:02,0:02,0:24,1:37,0:11
694739a0dedd11b70a02e366,11:36,0:58,0:09,1:45,1:15,7:27
69473a247ef6f50e9f8a375b,N/A,,,,,
69473a0e349ceac6b2b3dc71,2:01,0:02,0:06,0:30,1:09,0:13
69473a32f608fbd0dfdccc0c,2:12,0:02,0:04,0:25,1:11,0:27
69473bfad7277df22a45de04,3:28,0:08,0:11,0:39,2:00,0:27
69473a36d42727d1c7ad4448,1:48,0:02,0:03,0:21,1:06,0:14
69473a4b2e84856b814dff32,3:15,0:13,0:04,1:02,1:29,0:25
69473d47b7a4d191cf194bb6,1:59,0:04,0:04,0:19,1:08,0:18
69473fc3e4cc4fe0613af03e,2:03,0:07,0:03,0:15,1:18,0:18
694741e3750bfb5212784d52,2:26,0:18,0:03,0:27,1:04,0:31
69473f9d9c3b24184f1fb30d,2:33,0:04,0:03,0:25,1:18,0:40
694741edd668224dabc6f126,2:19,0:02,0:02,0:21,1:13,0:37
6947425288371d649cde0349,5:56,0:18,0:09,1:08,1:16,3:03
69474294f7905083cfcd52b1,2:40,0:05,0:04,0:31,1:36,0:20
694747699cb45594eff68398,2:12,0:19,0:02,0:19,1:09,0:21
6947514f7488ba0ced050572,2:19,0:01,0:03,0:23,1:13,0:38
694753ca7f907e3ac1a6afb2,1:54,0:06,0:02,0:21,1:00,0:22
6947596a4e18993903e9623c,3:17,0:28,0:02,0:38,1:14,0:53
